RAS Inhibitor,Onset of BP-lowering,Peak BP-lowering,Duration of BP-lowering,Typical Dosing Frequency,Trough: Peak Ratio*,Dose Reduce in Moderate Renal Insufficiency
ACE inhibitors,,,,,,
Benazepril ,<1 hr,1-2 hrs,24 hrs,Once daily,0.4Ð0.5,Yes
Captopril,1-1.5 hrs,1-1.5 hrs,<24 hrs (dose-dependent),Twice or thrice daily,0.25,Yes
Enalapril,1 hr,4-6 hrs,²24 hrs,Once or twice daily,0.3Ð0.45,No
Fosinopril,1 hr,2-6 hrs,24 hrs,Once or twice daily,0.6,No
Lisinopril,1 hr,4-6 hrs,24 hrs,Once,0.5Ð0.6,Yes
Moexipril,1 hr,3Ð6 hrs,²24 hrs,Once or twice daily,²0.1,No
Perindopril,<1 hr,6 hrs,24 hrs,Once daily,0.6Ð0.7,Yes
Ramipril,1Ð2 hrs,3-6 hrs,24 hrs,Once daily,0.5Ð0.6,Yes
Quinapril,<1 hr,2Ð4 hrs,24 hrs,Once daily,0.5,Yes
Trandolapril,1 hr,4Ð10 hrs,24 hrs,Once daily,0.5Ð0.9,No
ARBs,,,,,,
Azilsartan,~1-2 hrs,1.5Ð3 hrs,24 hrs,Once daily,0.6Ð0.7,No
Candesartan,2-3 hrs,3Ð4 hrs,²24 hrs,Once daily,0.8Ð1.0,Yes
Eprosartan,1-2 hrs,~2 hrs,²24 hrs,Once or twice daily,0.3,No
Irbesartan,1-2 hrs ,3Ð6 hrs,³24 hrs,Once daily,0.4Ð0.7,No
Losartan,~1 hr,1 hr (losartan);,12-24 hrs,Once or twice daily,0.3Ð0.7,No
,,3-6 hrs (E-3174),,,,
Olmesartan,1-2 hrs,1Ð2 hrs,³24 hrs,Once daily,0.6Ð0.7,No
Telmisartan,0.5Ð1 hrs,4Ð6 hrs,>24 hrs,Once daily,0.9,No
Valsartan,2 hrs,2Ð4 hrs,24 hrs,Once daily,0.6Ð0.7,No
DRIs,,,,,,
Aliskiren,1-2 hrs,2-4 hrs,>24 hrs,Once daily,0.6Ð0.9,No
